incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027273,Grand Theft Auto Report,2022-03-22T00:00:00.000,1700BLK APPIAN WAY ,B001,0B1E,2022-03-22T18:50:00.000,2022-03-22T20:09:36.000,Report,34.00843931634347,-118.49310391851772,368,15,34.0084393163435,-118.493103918518
220027291,Citizen Flag,2022-03-22T00:00:00.000,2400BLK MAIN ST,B001,0B1F,2022-03-22T19:49:56.000,2022-03-22T19:56:17.000,Assist,34.004105605512365,-118.48569421015073,363,16,34.0041056055124,-118.485694210151
220027236,Burglary Report,2022-03-22T00:00:00.000,1100BLK PRINCETON ST ,B004,0B4F,2022-03-22T17:04:36.000,2022-03-22T19:55:49.000,Report,34.03752613721376,-118.47831844076346,365,9,34.0375261372138,-118.478318440763
220027282,Malicious Mischief Just Occurred,2022-03-22T00:00:00.000,700BLK SANTA MONICA BLVD ,B001,0B1J,2022-03-22T19:15:12.000,2022-03-22T19:55:21.000,Advisal,34.019096627007485,-118.49184359894414,368,15,34.0190966270075,-118.491843598944
220027290,Disturbance at a Business,2022-03-22T00:00:00.000,2900BLK LINCOLN BLVD,B002,0B2A,2022-03-22T19:47:21.000,2022-03-22T19:48:27.000,Cancelled,34.00476334828916,-118.47342386821785,363,17,34.0047633482892,-118.473423868218
220027283,ENCAMPMENT,2022-03-22T00:00:00.000,00BLK PICO BLVD ,B001,0B1G,2022-03-22T19:24:35.000,2022-03-22T19:38:59.000,Gone on Arrival,34.00665329172184,-118.49155866127815,368,16,34.0066532917218,-118.491558661278
220027275,Grand Theft Report,2022-03-22T00:00:00.000,23RD ST / CALIFORNIA AVE ,B004,0B4F,2022-03-22T18:52:51.000,2022-03-22T19:33:43.000,Report,34.034773583879634,-118.48229592272904,365,9,34.0347735838796,-118.482295922729
220027281,Disturbance at a Business,2022-03-22T00:00:00.000,200BLK BROADWAY ,B001,0B1K,2022-03-22T19:14:51.000,2022-03-22T19:31:12.000,Gone on Arrival,34.01459498434302,-118.49578232066014,368,15,34.014594984343,-118.49578232066
220027286,Follow Up,2022-03-22T00:00:00.000,1600BLK CALIFORNIA AVE,B004,0B4E,2022-03-22T19:27:15.000,2022-03-22T19:28:48.000,Other,34.030072283862985,-118.48809426803092,365,7,34.030072283863,-118.488094268031
220027285,Battery Just Occurred,2022-03-22T00:00:00.000,1400BLK OCEAN AVE ,B001,0B1L,2022-03-22T19:26:35.000,2022-03-22T19:28:42.000,Cancelled,34.013424290562163,-118.49722259970113,368,15,34.0134242905622,-118.497222599701
